Título,Link,Data,Hora
"Instrução Normativa RFB nº 2.082, de 18 de maio de 2022 - Prorroga o prazo de entrega da Escrituração Contábil Digital (ECD) referente ao ano-calendário de 2021.","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/instrucao-normativa-rfb-no-2-082-de-18-de-maio-de-2022-prorroga-o-prazo-de-entrega-da-escrituracao-contabil-digital-ecd-referente-ao-ano-calendario-de-2021 ",25/05/2022,16h36
"Portal Nacional de Contratações Públicas já exibe Planos de Contratação Anual do ano exercício de 2023","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/portal-nacional-de-contratacoes-publicas-ja-exibe-planos-de-contratacao-anual-do-ano-exercicio-de-2023 ",24/05/2022,08h34
"Resultado do Processo Seletivo DELOG/SEGES/ME – Coordenação-Geral de Sistemas de Compras Governamentais – Edital 141/2022","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/resultado-do-processo-seletivo-delog-seges-me-2013-coordenacao-geral-de-sistemas-de-compras-governamentais-2013-edital-141-2022 ",13/05/2022,12h02
"2ª Consulta Pública – Regulamentação da atuação do agente de contratação, equipe de apoio, comissão de contratação, gestores e fiscais de contratos","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/2a-consulta-publica-2013-regulamentacao-da-atuacao-do-agente-de-contratacao-equipe-de-apoio-comissao-de-contratacao-gestores-e-fiscais-de-contratos ",10/05/2022,11h29
"Indisponibilidade dos ambientes de homologação do Siasgnet e Sicaf","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/indisponibilidade-dos-ambientes-de-homologacao-do-siasgnet-e-sicaf ",06/05/2022,10h55
"Indisponibilidade do Sistema Compras.gov.br","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/indisponibilidade-do-sistema-compras-gov-1.br ",02/05/2022,14h17
"Publicação dos atos do SIASG no dia 27/04","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/publicacao-dos-atos-do-siasg-no-dia-27-04 ",27/04/2022,12h10
"Manutenção no Sistema Compras.gov.br","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/manutencao-no-sistema-compras-gov.br ",14/04/2022,09h52
"Indisponibilidade do Sistema Compras.gov.br","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/indisponibilidade-do-sistema-compras-gov.br ",06/04/2022,16h21
"Mais de 3,1 mil municípios já utilizam sistema de compras do governo federal","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/mais-de-3-1-mil-municipios-ja-utilizam-sistema-de-compras-do-governo-federal ",04/04/2022,15h08
"Fornecedor, o login do Compras.gov.br vai mudar! Atualize seu cadastro e não perca seu acesso.","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/fornecedor-o-login-do-compras-gov-br-vai-mudar-atualize-seu-cadastro-e-nao-perca-seu-acesso ",30/03/2022,16h17
"Manutenção no ambiente do RDC","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/manutencao-no-ambiente-do-rdc ",25/03/2022,17h39
"Orientações ao setor de contratações sobre devolução de Documento de Formalização da Demanda (DFD)","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/orientacoes-ao-setor-de-contratacoes-sobre-a-devolucao-de-um-documento-de-formalizacao-da-demanda-dfd ",24/03/2022,18h59
"Emissão de bilhetes de viagens para servidores públicos está mais ágil","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/emissao-de-bilhetes-de-viagens-para-servidores-publicos-esta-mais-agil ",16/03/2022,11h09
"Consulta Pública – Decreto que regulamenta a exigência de percentual mínimo de mão de obra constituído por mulheres vítimas de violência doméstica","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/consulta-publica-2013-decreto-que-regulamenta-a-exigencia-de-percentual-minimo-de-mao-de-obra-constituido-por-mulheres-vitimas-de-violencia-domestica ",08/03/2022,09h27
"Mudança do processo de adesão de órgãos não participantes a atas de registro de preços gerenciadas pela Central de Compras","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/mudanca-do-processo-de-adesao-de-orgaos-nao-participantes-a-atas-de-registro-de-precos-gerenciadas-pela-central-de-compras ",07/03/2022,16h10
"Manutenção do DW Siasg","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/manutencao-do-dw-siasg ",03/03/2022,20h07
"Entrega de compras centralizadas","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/acentral-de-comprasentrega-compras-centralizadas ",24/02/2022,18h13
"Manutenção preventiva nos ambientes de homologação do SIASG, SIDEC, SIASGNET E SICAF","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/manutencao-preventiva-no-siasg-sidec-siasgnet-e-sicaf ",18/02/2022,10h27
"Indisponibilidade do DW Siasg","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/indisponibilidade-do-dw-siasg ",10/02/2022,11h35
"Indisponibilidade do Portal de Compras","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/instabilidade-no-portal-de-compras ",10/02/2022,10h00
"Novas regras para elaboração do Plano de Contratações Anual","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/novas-regras-para-elaboracao-do-plano-de-contratacoes-anual ",26/01/2022,11h42
"Principais linhas de inovação em contratações públicas em 2022.","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/principais-linhas-de-inovacao-em-contratacoes-publicas-em-2022 ",10/01/2022,08h49
"Manutenção Compras.gov.br","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/manutencao-compras-gov.br ",03/01/2022,17h38
"Novidade do Portal Nacional de Contratações Públicas (PNCP)","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/novidade-do-portal-nacional-de-contratacoes-publicas-pncp ",28/12/2021,13h32
"Novo Portal Compras.gov.br privilegia comunicação com o mercado","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/novo-portal-compras-gov-br-privilegia-comunicacao-com-o-mercado ",20/12/2021,10h55
"Manutenção nos painéis de Compras, Preços e Viagens","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/manutencao-nos-paineis-de-compras-precos-e-viagens ",15/12/2021,13h17
"Ampliação do horário de funcionamento da comunicação do Compras Contratos com o SIAFI em Dezembro/2021","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/ampliacao-do-horario-de-funcionamento-da-comunicacao-do-compras-contratos-com-o-siafi-em-dezembro-2021 ",09/12/2021,18h05
"Manutenção Portal de Compras do Governo","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/manutencao-portal-de-compras-do-governo ",08/12/2021,14h35
"Consulta Pública – Nova Instrução Normativa sobre critério de julgamento por maior retorno econômico, na forma eletrônica","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/consulta-publica-2013-nova-instrucao-normativa-sobre-criterio-de-julgamento-por-maior-retorno-economico-na-forma-eletronica ",03/12/2021,06h54
"Solucionada a inconsistência entre a inclusão de itens na IRP e o módulo de divulgação da compra","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/solucionada-a-inconsistencia-entre-a-inclusao-de-itens-na-irp-e-o-modulo-de-divulgacao-da-compra ",26/11/2021,14h45
"Ambiente de treinamento do Compras indisponível","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/ambiente-de-treinamento-do-compras-indisponivel ",26/11/2021,08h57
"Manutenção do Sistema de Compras do Governo","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/manutencao-do-sistema-de-compras-do-governo-1 ",18/11/2021,09h47
"Sistemas em manutenção preventiva no fim de semana","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/sistemas-em-manutencao-preventiva-no-fim-de-semana ",12/11/2021,16h12
"Manutenção do Sistema de Compras do Governo","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/copy_of_manutencao-do-sistema-de-compras-do-governo ",05/11/2021,09h41
"MANUTENÇÃO NO SIASGNET","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/manutencao-no-siasgnet ",22/10/2021,14h05
"Consulta Pública – Portaria que institui o catálogo eletrônico de padronização de compras, serviços e obras.","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/consulta-publica-2013-portaria-que-institui-o-catalogo-eletronico-de-padronizacao-de-compras-servicos-e-obras ",21/10/2021,10h08
"Governo Federal simplifica participação em compras públicas com novas funcionalidades no aplicativo Compras.gov.br","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/governo-federal-simplifica-participacao-em-compras-publicas-com-novas-funcionalidades-no-aplicativo-compras-gov.br ",15/10/2021,15h45
"Instabilidade do sistema Compras.gov.br","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/instabilidade-do-sistema-compras-gov.br ",07/10/2021,16h34
"Sistema de Compras do Governo Federal já é utilizado por 3 mil municípios","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/sistema-de-compras-do-governo-federal-ja-e-utilizado-por-3-mil-municipios ",06/10/2021,09h40
"Aplicativo Compras.gov.br passará por manutenção planejada","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/aplicativo-compras-gov-br-passara-por-manutencao-planejada ",05/10/2021,18h25
"Prorrogado o prazo da consulta pública da Instrução Normativa sobre critério de julgamento por menor preço ou maior desconto","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/prorrogado-o-prazo-da-consulta-publica-da-instrucao-normativa-sobre-criterio-de-julgamento-por-menor-preco-ou-maior-desconto ",05/10/2021,09h35
"Sistema de contratações do governo federal evolui e passa a se chamar Compras.gov.br","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/sistema-de-contratacoes-do-governo-federal-evolui-e-passa-a-se-chamar-compras-gov.br ",01/10/2021,16h41
"Aviso de manutenção no Data Warehouse de Compras","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/aviso-de-manutencao-no-data-warehouse-de-compras ",01/10/2021,16h40
"Manutenção do Sistema de Compras do Governo","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/manutencao-do-sistema-de-compras-do-governo ",29/09/2021,14h45
"Aviso de manutenção no Sistema de Compras","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/aviso-de-manutencao-no-sistema-de-compras ",24/09/2021,16h43
"Consulta Pública – Nova Instrução Normativa sobre critério de julgamento por menor preço ou maior desconto","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/consulta-publica-2013-nova-instrucao-normativa-sobre-criterio-de-julgamento-por-menor-preco-ou-maior-desconto ",20/09/2021,09h31
"Funcionalidade restabelecida para emissão de empenhos de Projetos de Investimento no Comprasnet Contratos","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/funcionalidade-restabelecida-para-emissao-de-empenhos-de-projetos-de-investimento-no-comprasnet-contratos-1 ",16/08/2021,10h21
"Processo Seletivo SEGES DELOG CGSCG – Ciência de Dados","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/processo-seletivo-seges-delog-cgscg-2013-ciencia-de-dados ",13/08/2021,17h21
"FIQUEM ATENTOS!","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/fiquem-atentos-1 ",13/08/2021,16h31
"Indisponibilidade de emissão de empenhos de Projetos de Investimento no Comprasnet Contratos","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/indisponibilidade-de-emissao-de-empenhos-de-projetos-de-investimento-no-comprasnet-contratos ",11/08/2021,17h43
"Manutenção do Sistema Comprasnet em 07/08/2021","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/manutencao-do-sistema-comprasnet-em-07-08-2021 ",06/08/2021,14h56
"Está disponível novo módulo da Dispensa Eletrônica em modo treinamento!!!","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/esta-disponivel-novo-modulo-da-dispensa-eletronica-em-modo-treinamento ",04/08/2021,17h50
"Processo Seletivo SEGES DELOG – ASSESSORAMENTO e ANALISTA / TÉCNICO DE TI – RESULTADO","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/processo-seletivo-seges-delog-2013-assessoramento-e-analista-tecnico-de-ti-2013-resultado ",26/07/2021,21h59
"9ª Edição do Sistema Internacional de Unidades (SI), tradução Luso Brasileira.","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/9a-edicao-do-sistema-internacional-de-unidades-si-traducao-luso-brasileira ",22/07/2021,14h42
"Processo Seletivo SEGES DELOG - Ciência de Dados - Inscrições Prorrogadas até 25/07/2021","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/processo-seletivo-seges-delog-ciencia-de-dados-inscricoes-prorrogadas-ate-25-07-2021 ",20/07/2021,11h22
"Consulta Pública – Nova Instrução Normativa sobre a participação de pessoa física nas contratações públicas","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/consulta-publica-2013-nova-instrucao-normativa-sobre-a-participacao-de-pessoa-fisica-nas-licitacoes ",08/07/2021,12h50
"Processo Seletivo SEGES DELOG - Ciência de Dados - Inscrições até 11/07/2021","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/processo-seletivo-seges-delog-inscricoes-ate-11-07-2021 ",06/07/2021,11h18
"Processo Seletivo SEGES DELOG - Inscrições até 04/07","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/processo-seletivo-seges-delog-inscricoes-ate-04-07 ",28/06/2021,09h09
"O Sistema ETP Digital evoluiu!!!","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/o-sistema-etp-digital-evoluiu ",22/06/2021,21h35
"Consulta Pública – Nova Portaria que estabelece regras e diretrizes para agente de contratação, equipe de apoio,  comissão de contratação, gestores e fiscais de contratos","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/consulta-publica-2013-nova-portaria-que-estabelece-regras-e-diretrizes-para-a-atuacao-na-area-de-licitacoes ",15/06/2021,17h28
"Consulta Pública – Nova Instrução Normativa sobre a modalidade leilão, na forma eletrônica","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/consulta-publica-2013-nova-instrucao-normativa-sobre-a-modalidade-leilao-na-forma-eletronica ",08/06/2021,18h37
"Integração no Portal Nacional de Contratações Públicas","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/integracao-no-portal-nacional-de-contratacoes-publicas-1 ",08/06/2021,11h42
"Cade publica checklist com sinais de alerta para identificação de cartel em licitações","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/cade-publica-checklist-com-sinais-de-alerta-para-identificacao-de-cartel-em-licitacoes ",07/06/2021,16h10
"Sistema Comprasnet - funcionalidades restabelecidas  - 01/06/2021","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/sistema-comprasnet-reestabelecio-01-06-2021 ",01/06/2021,13h03
"Cade e OCDE discutem combate a cartéis em lançamento de relatório sobre análise de compras públicas no Brasil","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/cade-e-ocde-discutem-combate-a-carteis-em-lancamento-de-relatorio-sobre-analise-de-compras-publicas-no-brasil-1 ",01/06/2021,11h47
"Indisponibilidade do Sistema Comprasnet - 01/06/2021","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/indisponibilidade-do-sistema-comprasnet-01-06-2021-1 ",01/06/2021,10h51
"Consulta Pública – Nova Instrução Normativa sobre multa administrativa","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/consulta-publica-2013-nova-instrucao-normativa-sobre-multa-administrativa ",01/06/2021,09h32
"Consulta Pública – Nova Portaria sobre o enquadramento dos bens de consumo","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/consulta-publica-2013-nova-portaria-sobre-o-enquadramento-dos-bens-de-consumo ",25/05/2021,10h40
"Consulta Pública – Nova Instrução Normativa sobre o Plano de Contratações Anual","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/consulta-publica-2013-nova-instrucao-normativa-sobre-o-plano-de-contratacoes-anual ",18/05/2021,16h45
"Secretaria de Gestão convoca gestores de portais públicos e privados para debate","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/secretaria-de-gestao-convoca-gestores-de-portais-publicos-e-privados-para-debate ",14/05/2021,12h49
